Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Application Fee Received,647,Bahawalpur,male,Punjab,49,0,818,603,148,115,94,80,0,0,0,0,No
Challan Printed,583,Bahawalpur,female,Punjab,52,0,581,516,80,81,85,33,90,0,0,0,No
Application Fee Received,669,Bahawalpur,female,Punjab,35,0,721,639,131,107,93,109,31,0,0,0,No
Admission Fee Challan Received,1014,Bahawalpur,male,Punjab,64,0,806,955,0,0,0,0,0,1,0,1,Yes
Application Fee Received,967,Bahawalpur,male,Punjab,73,59,977,899,168,163,162,40,168,0,0,0,No
Application Fee Received,551,Bahawalpur,female,Punjab,40,0,631,516,95,33,30,67,89,0,0,0,No
Admission Fee Challan Received,696,Bahawalpur,male,Punjab,57,0,659,644,0,0,0,0,0,1,0,1,Yes
Application Fee Received,725,Bahawalpur,male,Punjab,55,0,695,675,105,109,126,127,34,1,0,1,Yes
Application Fee Received,962,Bahawalpur,male,Punjab,54,0,974,913,183,45,173,171,140,1,0,1,Yes
Application Fee Received,655,Bahawalpur,female,Punjab,34,0,669,626,102,30,110,38,123,0,0,0,No
Admission Fee Challan Received,969,Bahawalpur,male,Punjab,62,0,920,912,171,85,176,163,159,1,0,1,Yes
Application Fee Received,1004,Bahawalpur,male,Punjab,69,69,882,945,174,155,189,175,90,1,0,1,Yes
Admission Fee Challan Received,781,Bahawalpur,male,Punjab,52,0,837,739,125,43,29,148,122,1,0,1,Yes
Application Fee Received,891,Bahawalpur,male,Punjab,51,0,527,825,143,124,46,170,166,0,0,0,No
Application Fee Received,854,OPEN,female,Punjab,40,0,832,824,151,180,127,94,124,0,0,0,No
Admission Fee Challan Received,743,Bahawalpur,male,Punjab,59,0,874,689,140,44,117,124,105,1,0,1,Yes
Admission Fee Challan Received,936,Bahawalpur,female,Punjab,61,0,896,880,177,31,42,145,177,1,0,1,Yes
Application Fee Received,708,OPEN,male,Punjab,43,0,534,650,128,139,91,71,40,0,0,0,No
Application Fee Received,711,Bahawalpur,male,Punjab,48,0,747,668,121,149,98,27,110,1,0,0,No
Application Fee Received,704,Bahawalpur,male,Punjab,45,0,679,664,128,98,91,0,131,1,0,0,No
Admission Fee Challan Received,971,Bahawalpur,male,Punjab,57,0,759,899,161,166,172,153,46,1,0,1,Yes
Challan Printed,717,Bahawalpur,male,Punjab,50,0,697,672,115,99,139,36,118,0,0,0,No
Application Received,678,Bahawalpur,male,Punjab,35,0,729,648,96,121,125,102,32,0,0,0,No
Admission Fee Challan Received,770,Bahawalpur,male,Punjab,54,0,836,721,101,42,41,112,138,1,0,1,Yes
Admission Fee Challan Received,974,Bahawalpur,male,Punjab,62,0,941,922,165,172,172,171,44,1,0,1,Yes
Admission Fee Challan Received,925,Bahawalpur,female,Punjab,56,0,841,874,159,161,161,159,39,1,0,1,Yes
Admission Fee Challan Received,612,Bahawalpur,male,Punjab,73,0,676,544,86,81,92,96,38,1,0,1,Yes
Challan Printed,567,Bahawalpur,female,Punjab,50,0,549,522,91,67,128,87,30,0,0,0,No
Application Fee Received,663,Bahawalpur,male,Punjab,52,0,630,596,104,118,101,39,0,0,0,0,No
Admission Fee Challan Received,0,Bahawalpur,male,Punjab,44,0,760,577,112,77,89,135,35,1,0,1,Yes
Application Fee Received,639,Bahawalpur,male,Punjab,49,0,570,595,135,80,126,26,32,1,0,0,No
Admission Fee Challan Received,922,Bahawalpur,male,Punjab,59,0,725,868,156,157,44,175,40,1,0,1,Yes
Application Fee Received,830,Bahawalpur,female,Punjab,49,0,907,786,172,121,155,130,38,1,0,1,Yes
Admission Fee Challan Received,703,Bahawalpur,male,Punjab,47,0,735,661,128,71,117,35,44,1,0,1,Yes
Admission Fee Challan Received,750,Bahawalpur,male,Punjab,60,0,749,695,116,158,147,35,67,1,0,1,Yes
Application Fee Received,797,OPEN,male,Punjab,62,0,917,750,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,808,Bahawalpur,male,Punjab,41,0,859,772,140,134,153,109,42,1,0,1,Yes
