Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Challan Printed,737,OPEN,male,Punjab,47,0,662,700,102,123,132,0,150,0,0,0,No
Application Fee Received,790,OPEN,male,Punjab,47,0,799,748,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,788,OPEN,male,Punjab,51,0,919,727,98,37,149,44,107,1,0,1,Yes
Application Fee Received,821,OPEN,male,Punjab,37,0,663,789,167,100,45,161,42,0,0,0,No
Application Fee Received,843,OPEN,male,Punjab,53,0,639,795,133,144,43,137,40,0,0,0,No
Admission Fee Challan Received,897,OPEN,male,Punjab,69,0,781,833,148,46,163,162,145,1,0,1,Yes
Application Received,589,OPEN,male,Punjab,42,0,723,557,81,128,62,0,101,0,0,0,No
Admission Fee Challan Received,782,OPEN,male,Punjab,49,0,818,743,0,0,0,0,0,1,0,1,Yes
Application Fee Received,883,Bahawalpur,female,Punjab,56,0,785,842,124,179,43,147,44,0,0,0,No
Application Fee Received,759,OPEN,female,Punjab,47,0,742,717,135,102,131,126,43,0,0,0,No
Challan Printed,888,OPEN,female,Punjab,56,0,830,837,148,144,147,34,165,0,0,0,No
Application Fee Received,756,OPEN,male,Punjab,38,0,629,723,107,108,144,124,0,0,0,0,No
Application Fee Received,636,OPEN,male,Punjab,31,0,763,610,97,119,96,87,42,0,0,0,No
Application Fee Received,573,OPEN,male,Punjab,40,0,597,538,0,0,0,0,0,0,0,0,No
Application Fee Received,619,OPEN,male,Punjab,45,0,657,579,81,77,110,107,0,0,0,0,No
Application Fee Received,614,OPEN,male,Punjab,46,0,641,573,0,0,0,0,0,0,0,0,No
Application Fee Received,698,OPEN,male,Punjab,46,0,768,657,0,0,0,0,0,0,0,0,No
Application Fee Received,546,OPEN,male,Punjab,51,0,603,500,60,78,38,80,33,1,0,0,No
Admission Fee Challan Received,838,OPEN,male,Punjab,43,12,620,800,141,159,150,41,125,1,0,1,Yes
Application Fee Received,638,OPEN,male,Punjab,50,0,834,593,83,93,84,139,0,0,0,0,No
Application Fee Received,794,OPEN,male,Punjab,43,0,837,756,0,0,0,0,0,1,0,1,Yes
Application Fee Received,705,OPEN,female,Punjab,28,0,722,682,109,120,109,128,0,0,0,0,No
Challan Printed,550,OPEN,male,Punjab,35,0,584,520,76,41,37,74,92,0,0,0,No
Application Fee Received,721,OPEN,male,Punjab,54,0,809,672,0,0,0,0,0,0,0,0,No
Application Fee Received,953,OPEN,male,Punjab,71,0,880,887,174,162,132,162,48,0,0,0,No
Admission Fee Challan Received,886,OPEN,male,Punjab,45,0,634,846,142,153,168,32,153,1,0,1,Yes
Challan Printed,720,OPEN,male,Punjab,51,0,786,674,109,106,120,46,112,0,0,0,No
Application Fee Received,691,OPEN,male,Punjab,44,0,624,652,0,0,0,0,0,0,0,0,No
Application Fee Received,612,OPEN,male,Punjab,38,0,695,594,77,105,103,105,34,0,0,0,No
Application Fee Received,893,OPEN,male,Punjab,52,0,928,846,153,166,131,159,0,0,0,0,No
Admission Fee Challan Received,815,OPEN,male,Punjab,54,0,817,766,141,157,126,48,39,1,0,1,Yes
Application Fee Received,738,OPEN,male,Punjab,38,0,697,705,104,99,129,41,45,0,0,0,No
Admission Fee Challan Received,801,OPEN,male,Punjab,43,0,784,763,135,142,133,129,0,1,0,1,Yes
Application Fee Received,795,OPEN,male,Punjab,43,0,714,757,136,45,157,103,46,1,0,1,Yes
Application Fee Received,602,OPEN,male,Punjab,37,0,592,570,88,81,81,105,0,0,0,0,No
Admission Fee Challan Received,861,OPEN,male,Punjab,70,0,887,796,157,127,112,148,0,1,0,1,Yes
Application Fee Received,607,OPEN,male,Punjab,47,0,811,565,98,106,40,74,45,0,0,0,No
Application Fee Received,799,OPEN,male,Punjab,32,0,908,752,126,130,146,103,0,0,0,0,No
Application Fee Received,757,OPEN,male,Punjab,48,0,834,714,147,39,116,118,113,0,0,0,No
Application Fee Received,582,OPEN,male,Punjab,63,0,595,504,118,82,36,99,39,0,0,0,No
Application Fee Received,760,OPEN,female,Punjab,45,0,631,720,124,83,152,37,143,0,0,0,No
Application Fee Received,668,OPEN,male,Punjab,42,0,631,631,89,110,121,44,47,0,0,0,No
Admission Fee Challan Printed,653,OPEN,male,Punjab,28,0,785,630,0,0,0,0,0,0,0,0,No
Application Fee Received,710,OPEN,male,Punjab,43,0,683,672,114,111,114,113,45,0,0,0,No
Challan Printed,1000,OPEN,male,Punjab,80,80,891,941,0,0,0,0,0,0,0,0,No
Application Fee Received,803,OPEN,female,Punjab,45,0,730,763,131,134,133,123,0,1,0,0,No
Application Fee Received,714,OPEN,male,Punjab,48,0,717,671,110,110,126,37,125,0,0,0,No
Admission Fee Challan Printed,817,OPEN,male,Punjab,69,0,873,753,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Received,0,OPEN,male,Punjab,45,0,750,737,133,125,145,46,48,1,0,1,Yes
Admission Fee Challan Received,748,OPEN,male,Punjab,56,0,747,697,121,116,124,44,116,1,0,1,Yes
Application Fee Received,686,OPEN,male,Punjab,48,0,584,643,124,103,93,0,119,0,0,0,No
Challan Printed,810,OPEN,male,Punjab,49,0,760,746,0,0,0,0,0,0,0,0,No
Application Fee Received,841,OPEN,male,Punjab,50,0,791,796,152,150,136,37,156,1,0,1,Yes
Admission Fee Challan Received,815,OPEN,male,Punjab,44,0,745,776,132,121,165,44,133,1,0,1,Yes
Admission Fee Challan Received,952,OPEN,male,Punjab,68,0,953,889,143,162,152,47,175,1,0,1,Yes
Application Fee Received,678,OPEN,male,Punjab,49,0,640,634,87,113,44,119,36,1,0,0,No
Challan Printed,772,OPEN,male,Punjab,43,0,853,734,127,115,152,0,45,0,0,0,No
Application Fee Received,649,OPEN,male,Punjab,42,0,640,612,106,75,0,0,0,0,0,0,No
Application Fee Received,673,OPEN,male,Punjab,54,0,610,604,75,98,121,87,0,0,0,0,No
Application Fee Received,724,OPEN,male,Punjab,50,0,832,679,116,125,111,121,0,0,0,0,No
Admission Fee Challan Received,941,OPEN,male,Punjab,70,0,933,876,160,158,148,168,0,1,0,1,Yes
Admission Fee Challan Received,744,OPEN,male,Punjab,50,0,829,699,103,121,120,130,48,1,0,1,Yes
Application Fee Received,939,OPEN,male,Punjab,52,0,845,892,161,171,144,43,152,1,0,1,Yes
Application Fee Received,708,OPEN,female,Punjab,43,0,639,670,124,110,100,133,0,0,0,0,No
Admission Fee Challan Received,767,OPEN,male,Punjab,41,0,662,731,136,141,134,96,44,1,0,1,Yes
Application Fee Received,829,OPEN,male,Punjab,42,0,714,772,119,155,132,139,44,0,0,0,No
Application Fee Received,726,OPEN,male,Punjab,44,0,727,687,133,127,104,103,0,0,0,0,No
Application Fee Received,786,OPEN,male,Punjab,45,0,861,746,129,108,141,44,37,0,0,0,No
Admission Fee Challan Received,800,OPEN,male,Punjab,55,0,655,750,140,130,115,45,46,1,0,1,Yes
Admission Fee Challan Received,985,OPEN,male,Punjab,63,0,860,927,158,176,177,48,171,1,0,0,No
Application Fee Received,646,OPEN,male,Punjab,25,0,682,606,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,880,OPEN,male,Punjab,43,0,819,842,158,46,45,154,126,1,0,1,Yes
Challan Printed,642,OPEN,male,Punjab,0,0,829,647,0,0,0,0,0,0,0,0,No
Challan Printed,911,OPEN,male,Punjab,61,0,922,860,165,147,133,165,0,0,0,0,No
Application Fee Received,860,OPEN,male,Punjab,54,0,801,811,149,44,34,143,139,0,0,0,No
Admission Fee Challan Received,788,OPEN,male,Punjab,43,0,644,750,128,129,138,115,44,1,0,1,Yes
Admission Fee Challan Received,753,OPEN,male,Punjab,53,0,741,705,106,39,39,110,120,1,0,1,Yes
Application Fee Received,703,OPEN,male,Punjab,57,0,748,651,44,127,22,98,140,1,0,0,No
Application Fee Received,804,OPEN,male,Punjab,41,0,811,768,136,138,140,45,41,0,0,0,No
Challan Printed,891,OPEN,male,Punjab,55,0,984,841,170,158,46,132,40,0,0,0,No
Application Fee Received,912,OPEN,male,Punjab,46,0,900,871,172,170,173,145,44,1,0,1,Yes
Challan Printed,744,OPEN,male,Punjab,43,0,809,706,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,958,OPEN,male,Punjab,53,0,899,910,0,0,0,0,0,1,0,1,Yes
Application Fee Received,720,OPEN,male,Punjab,28,0,764,697,108,123,138,0,139,0,0,0,No
Application Fee Received,862,OPEN,male,Punjab,51,0,865,816,165,133,126,144,43,0,0,0,No
Application Fee Received,867,OPEN,female,Punjab,46,0,834,826,0,0,0,0,0,0,0,0,No
Application Fee Received,747,OPEN,male,Punjab,37,0,675,715,100,134,122,43,141,0,0,0,No
Application Fee Received,596,OPEN,male,Punjab,43,0,577,558,125,85,71,40,92,0,0,0,No
Application Fee Received,651,OPEN,female,Punjab,41,0,585,615,41,96,25,155,75,0,0,0,No
Application Fee Received,805,OPEN,female,Punjab,53,0,852,757,150,159,137,131,35,0,0,0,No
Admission Fee Challan Received,1017,OPEN,male,Punjab,86,86,907,957,161,188,193,163,46,1,0,1,Yes
Application Fee Received,625,OPEN,male,Punjab,53,0,925,557,108,0,0,0,0,0,0,0,No
Admission Fee Challan Received,838,OPEN,male,Punjab,41,0,775,802,153,147,162,151,0,1,0,1,Yes
Application Fee Received,857,OPEN,male,Punjab,44,44,933,862,0,0,0,0,0,0,0,0,No
Application Fee Received,697,OPEN,female,Punjab,46,0,694,656,101,111,118,141,0,0,0,0,No
Application Fee Received,914,OPEN,male,Punjab,65,0,869,854,133,161,174,48,149,1,0,1,Yes
Challan Printed,784,Bahawalpur,male,Punjab,58,24,693,731,137,146,126,36,38,0,0,0,No
Admission Fee Challan Received,811,OPEN,male,Punjab,44,16,887,772,124,140,141,36,147,1,0,1,Yes
Application Fee Received,733,OPEN,male,Punjab,43,0,788,700,125,0,0,0,0,1,0,0,No
Application Fee Received,903,OPEN,male,Punjab,48,28,836,860,168,156,146,147,0,0,0,0,No
Application Fee Received,723,OPEN,male,Punjab,38,26,644,690,112,142,102,36,121,0,0,0,No
Application Fee Received,785,OPEN,male,Punjab,34,0,678,756,139,145,119,40,41,0,0,0,No
Application Fee Received,634,OPEN,male,Punjab,41,0,701,598,90,97,102,135,93,0,0,0,No
Application Fee Received,757,OPEN,male,Punjab,48,0,925,714,137,114,47,115,45,0,0,0,No
Application Fee Received,901,OPEN,male,Punjab,54,0,824,852,159,150,165,45,142,1,0,1,Yes
Application Fee Received,888,OPEN,female,Punjab,46,38,886,847,0,0,0,0,0,0,0,0,No
Admission Fee Challan Received,775,OPEN,female,Punjab,53,0,774,727,146,137,108,48,101,1,0,1,Yes
Application Fee Received,813,OPEN,male,Punjab,42,0,872,776,141,141,141,107,0,1,0,1,Yes
Application Fee Received,592,OPEN,male,Punjab,51,0,624,561,106,55,85,105,0,0,0,0,No
Application Fee Received,887,OPEN,male,Punjab,38,0,612,854,140,44,44,175,155,0,0,0,No
Application Fee Received,724,OPEN,male,Punjab,44,0,714,665,96,139,135,31,84,0,0,0,No
Application Fee Received,883,OPEN,male,Punjab,49,0,805,839,154,0,166,0,144,0,0,0,No
Challan Printed,798,OPEN,male,Punjab,54,0,866,749,0,0,0,0,0,0,0,0,No
Application Fee Received,747,OPEN,male,Punjab,43,0,847,689,98,152,132,111,0,0,0,0,No
Challan Printed,867,OPEN,male,Punjab,48,0,795,824,0,0,0,0,0,0,0,0,No
Application Fee Received,835,OPEN,male,Punjab,37,0,845,803,155,153,151,108,43,0,0,0,No
Application Fee Received,729,OPEN,male,Punjab,42,0,765,692,116,34,134,122,129,0,0,0,No
Application Fee Received,643,OPEN,male,Punjab,30,0,647,598,113,102,44,142,35,0,0,0,No
Application Fee Received,806,OPEN,male,Punjab,53,0,805,738,119,130,114,129,45,1,0,1,Yes
Application Fee Received,920,OPEN,female,Punjab,64,0,946,861,159,149,44,161,47,0,0,0,No
Application Fee Received,603,Bahawalpur,female,Punjab,40,0,678,568,0,0,0,0,0,1,0,0,No
Challan Printed,890,OPEN,male,Baluchistan,57,0,771,838,0,0,0,0,0,0,0,0,No
Application Fee Received,714,OPEN,male,Punjab,41,0,771,678,118,111,47,92,47,0,0,0,No
Challan Printed,771,OPEN,male,Baluchistan,0,0,729,776,156,40,35,92,116,0,0,0,No
Application Received,707,OPEN,male,Baluchistan,0,0,692,712,142,100,107,42,161,0,0,0,No
Application Fee Received,672,OPEN,male,Baluchistan,46,0,797,631,0,0,0,0,0,0,0,0,No
Challan Printed,721,OPEN,male,Baluchistan,49,0,861,682,0,0,0,0,0,0,0,0,No
Challan Printed,680,OPEN,male,Baluchistan,0,0,642,685,160,85,128,117,20,0,0,0,No
Admission Fee Challan Received,734,OPEN,male,Baluchistan,0,0,501,689,159,108,120,82,0,1,0,0,No
Challan Printed,827.435,OPEN,male,Gilgit-Baltistan,50,0,500,782,0,0,0,0,0,0,0,0,No
Application Received,586,OPEN,male,Gilgit-Baltistan,0,0,752,591,96,124,92,84,40,0,0,0,No
Admission Fee Challan Received,720,OPEN,male,Gilgit-Baltistan,0,0,654,680,128,120,99,132,0,1,0,0,No
